Fan,Refrigerator,AirConditioner,Television,Monitor,Month,City,Company,TariffRate,ElectricityBill
6,23,2,16,1,6,Shimla,"Maha Transco – Maharashtra State Electricity Transmission Co, Ltd.",7.7,4227.3
8,17,3,5,1,7,Gurgaon,Ringfeder Power Transmission India Pvt. Ltd.,8.3,3195.5
9,22,0,10,7,12,New Delhi,Orient Green,8.5,4173.5
10,21,1,22,1,6,Dahej,Neueon Towers / Sujana Towers Ltd.,7.6,4909.6
12,23,2,9,1,6,Nagpur,GE T&D India Limited,8.9,4859.4
21,23,2,6,1,6,Vadodara,Reliance Power,7.8,4960.8
19,22,0,10,12,2,Kolkata,JSW Energy Ltd.,8.7,3488.7
8,22,2,8,1,7,Dahej,GE T&D India Limited,7.6,2736
13,22,2,8,1,9,Vadodara,Sterlite Power Transmission Ltd,7.8,4204.2
14,22,2,6,12,7,Navi Mumbai,Ringfeder Power Transmission India Pvt. Ltd.,9.3,5366.1
5,23,3,15,1,5,New Delhi,Sunil Hitech Eng,8.5,5720.5
5,21,0,15,1,10,Kolkata,JSW Energy Ltd.,8.7,3854.1
11,22,1,7,1,11,Gurgaon,Sunil Hitech Eng,8.3,3303.4
13,22,1,4,12,1,Navi Mumbai,Power Grid Corp,9.3,6072.9
7,21,0,3,1,12,Hyderabad,Toshiba Transmission & Distribution Systems (India) Pvt. Ltd.,8.4,3536.4
10,19,0,3,1,6,Chennai,NTPC Pvt. Ltd.,8.8,3704.8
15,22,2,16,1,4,Chennai,Sterlite Power Transmission Ltd,8.8,5720
18,22,2,15,1,6,Ahmedabad,Orient Green,7.9,3823.6
22,23,2,21,1,6,Noida,SJVN Ltd.,8.2,6043.4
18,22,2,10,1,2,Mumbai,Reliance Power,9.2,3726
7,23,3,11,1,4,Hyderabad,Kalpataru Power,8.4,3847.2
16,22,1,11,1,8,Dahej,NTPC Pvt. Ltd.,7.6,3541.6
14,23,1,13,1,8,Hyderabad,Adani Power Ltd.,8.4,3830.4
15,22,3,9,1,4,Mumbai,Jaiprakash Power,9.2,3624.8
8,22,1,5,1,10,Noida,Reliance Power,8.2,2156.6
10,18,2,9,1,7,Mumbai,Ratnagiri Gas and Power Pvt. Ltd. (RGPPL),9.2,4508
8,19,2,20,1,12,Shimla,Reliance Energy,7.7,3665.2
19,22,1,3,1,5,Shimla,Sterlite Power Transmission Ltd,7.7,4442.9
7,23,0,17,1,3,Vadodara,Bonfiglioli Transmission Pvt. Ltd.,7.8,4157.4
16,23,1,16,1,7,Navi Mumbai,Unitech Power Transmission Ltd.,9.3,4603.5
8,23,0,4,1,8,Shimla,Jyoti Structure,7.7,3072.3
12,22,0,14,12,10,Kolkata,KEC International,8.7,5254.8
18,22,3,9,1,9,Kolkata,Kalpataru Power,8.7,5681.1
19,23,2,14,1,11,Noida,Sunil Hitech Eng,8.2,4198.4
7,22,2,11,7,8,Noida,Optibelt Power Transmission India Private Limited,8.2,3837.6
19,22,3,11,1,4,Kolkata,Optibelt Power Transmission India Private Limited,8.7,4898.1
17,23,1,12,1,9,Kolkata,Jyoti Structure,8.7,4315.2
20,23,0,15,1,10,Hyderabad,TransRail Lighting,8.4,4200
21,22,1,8,1,12,Hyderabad,Orient Green,8.4,4216.8
9,23,3,14,1,6,Shimla,SJVN Ltd.,7.7,4743.2
13,23,3,8,12,8,Faridabad,Neueon Towers / Sujana Towers Ltd.,8.1,4770.9
7,20,2,12,7,6,Hyderabad,L&T Transmission & Distribution,8.4,4998
9,23,3,17,7,9,Ahmedabad,Ringfeder Power Transmission India Pvt. Ltd.,7.9,3847.3
21,22,0,9,1,3,Ratnagiri,SJVN Ltd.,7.4,3788.8
22,22,3,9,1,2,Mumbai,NHPC,9.2,3726
8,18,3,19,1,11,Hyderabad,Reliance Energy,8.4,3259.2
6,22,3,10,1,1,Mumbai,"Maha Transco – Maharashtra State Electricity Transmission Co, Ltd.",9.2,4020.4
20,23,3,5,1,3,New Delhi,L&T Transmission & Distribution,8.5,5576
7,21,0,4,1,12,Hyderabad,Toshiba Transmission & Distribution Systems (India) Pvt. Ltd.,8.4,2520
6,18,2,7,7,9,Dahej,Orient Green,7.6,3974.8
14,23,2,4,1,7,Hyderabad,L&T Transmission & Distribution,8.4,4746
17,22,1,6,1,6,Shimla,L&T Transmission & Distribution,7.7,4319.7
20,23,3,11,1,7,Mumbai,Neueon Towers / Sujana Towers Ltd.,9.2,5777.6
11,23,3,8,1,11,Noida,KEC International,8.2,4592
13,22,0,7,1,8,Hyderabad,CESC,8.4,3570
14,22,2,14,12,2,Vadodara,Unitech Power Transmission Ltd.,7.8,4929.6
22,22,3,5,1,9,Pune,KEC International,9.1,5096
15,23,1,13,1,11,Faridabad,Kalpataru Power,8.1,3150.9
6,21,3,19,1,2,Nagpur,CESC,8.9,5126.4
6,19,1,4,1,8,Dahej,CESC,7.6,2584
7,18,3,4,1,8,Hyderabad,Reliance Power,8.4,3502.8
7,23,2,13,1,4,Navi Mumbai,Jaiprakash Power,9.3,4677.9
22,23,1,6,1,12,New Delhi,Tata Power Company Ltd.,8.5,4768.5
18,23,2,13,1,8,Navi Mumbai,Ratnagiri Gas and Power Pvt. Ltd. (RGPPL),9.3,5468.4
7,21,3,11,1,10,Faridabad,Bonfiglioli Transmission Pvt. Ltd.,8.1,4730.4
21,22,2,21,1,10,Chennai,Toshiba Transmission & Distribution Systems (India) Pvt. Ltd.,8.8,6784.8
22,22,3,4,1,9,Noida,NHPC,8.2,5272.6
18,22,0,16,1,3,Vadodara,Tata Power Company Ltd.,7.8,4305.6
13,23,1,8,12,5,Chennai,Sunil Hitech Eng,8.8,6010.4
5,21,3,6,1,5,Vadodara,Optibelt Power Transmission India Private Limited,7.8,3400.8
8,23,2,17,1,7,Mumbai,Kalpataru Power,9.2,6265.2
14,22,2,21,12,2,Kolkata,Unitech Power Transmission Ltd.,8.7,5811.6
15,22,1,14,1,10,Chennai,TransRail Lighting,8.8,3352.8
12,22,3,14,1,10,Navi Mumbai,Jaiprakash Power,9.3,5979.9
15,23,1,22,1,1,Vadodara,TransRail Lighting,7.8,3861
6,22,3,9,1,10,Noida,Kalpataru Power,8.2,4460.8
23,22,3,20,1,5,Shimla,Unitech Power Transmission Ltd.,7.7,5197.5
20,23,1,18,1,6,Hyderabad,Reliance Power,8.4,5586
10,17,1,10,1,2,Navi Mumbai,Jaiprakash Power,9.3,2259.9
23,22,2,12,12,9,Vadodara,"Maha Transco – Maharashtra State Electricity Transmission Co, Ltd.",7.8,5733
18,22,2,8,1,5,Pune,Ringfeder Power Transmission India Pvt. Ltd.,9.1,5341.7
14,22,0,3,1,9,Ahmedabad,Ringfeder Power Transmission India Pvt. Ltd.,7.9,2267.3
23,22,2,18,1,7,Ratnagiri,Tata Power Company Ltd.,7.4,5594.4
12,23,0,14,1,8,Faridabad,Toshiba Transmission & Distribution Systems (India) Pvt. Ltd.,8.1,3726
17,22,3,7,1,8,Mumbai,Sterlite Power Transmission Ltd,9.2,4416
6,22,1,11,1,7,Noida,Ratnagiri Gas and Power Pvt. Ltd. (RGPPL),8.2,2829
7,23,3,3,1,12,Pune,Torrent Power Ltd.,9.1,4959.5
6,22,1,20,1,4,Chennai,NTPC Pvt. Ltd.,8.8,3581.6
15,23,2,7,1,1,Nagpur,NTPC Pvt. Ltd.,8.9,3462.1
17,22,1,13,1,1,Noida,Ringfeder Power Transmission India Pvt. Ltd.,8.2,4255.8
20,22,3,20,12,9,Faridabad,Sterlite Power Transmission Ltd,8.1,5362.2
12,23,0,4,1,4,Gurgaon,Guj Ind Power,8.3,2506.6
12,23,0,16,1,2,New Delhi,Kalpataru Power,8.5,4947
23,22,0,8,1,1,Chennai,L&T Transmission & Distribution,8.8,3044.8
12,22,1,22,1,3,Nagpur,Sunil Hitech Eng,8.9,4503.4
6,22,1,4,1,1,Faridabad,Reliance Energy,8.1,3944.7
7,18,0,21,7,12,New Delhi,Sterlite Power Transmission Ltd,8.5,4046
16,22,0,8,1,12,Pune,Neueon Towers / Sujana Towers Ltd.,9.1,3394.3
18,22,1,16,1,10,Noida,Bonfiglioli Transmission Pvt. Ltd.,8.2,4911.8
8,20,0,7,7,3,Navi Mumbai,L&T Transmission & Distribution,9.3,3924.6
7,20,2,11,1,4,Dahej,Jaiprakash Power,7.6,2667.6
17,23,1,12,1,11,New Delhi,Torrent Power Ltd.,8.5,4352
15,23,3,4,1,4,Dahej,Kalpataru Power,7.6,4324.4
17,23,3,19,1,7,Noida,Tata Power Company Ltd.,8.2,6363.2
17,22,0,13,1,10,Faridabad,Ringfeder Power Transmission India Pvt. Ltd.,8.1,3782.7
15,22,2,6,12,3,Hyderabad,SJVN Ltd.,8.4,5846.4
20,22,1,6,1,12,Gurgaon,Sterlite Power Transmission Ltd,8.3,2963.1
18,22,0,7,1,12,Nagpur,NHPC,8.9,2892.5
20,22,1,8,12,3,Nagpur,Ratnagiri Gas and Power Pvt. Ltd. (RGPPL),8.9,6381.3
23,22,2,11,1,4,Pune,"Maha Transco – Maharashtra State Electricity Transmission Co, Ltd.",9.1,3812.9
5,23,0,4,1,7,Vadodara,GE T&D India Limited,7.8,3728.4
12,23,3,16,1,7,Dahej,Ratnagiri Gas and Power Pvt. Ltd. (RGPPL),7.6,4164.8
8,23,3,3,1,4,Kolkata,NTPC Pvt. Ltd.,8.7,4419.6
10,20,0,7,1,12,Vadodara,NHPC,7.8,2332.2
17,22,3,18,1,7,Noida,Kalpataru Power,8.2,4403.4
11,22,2,10,1,12,Mumbai,Reliance Energy,9.2,4351.6
19,23,2,5,1,10,Ahmedabad,TransRail Lighting,7.9,3547.1
13,23,3,21,1,1,Shimla,Toshiba Transmission & Distribution Systems (India) Pvt. Ltd.,7.7,4758.6
22,23,0,22,1,9,Noida,Kalpataru Power,8.2,4428
12,23,1,20,1,4,Faridabad,L&T Transmission & Distribution,8.1,4293
19,23,2,6,1,3,Chennai,Power Grid Corp,8.8,5086.4
15,22,3,17,1,2,Ahmedabad,JSW Energy Ltd.,7.9,3302.2
10,22,0,12,7,2,Ratnagiri,Orient Green,7.4,3004.4
19,22,3,10,1,1,Navi Mumbai,Torrent Power Ltd.,9.3,4845.3
5,18,3,9,1,2,Ahmedabad,Tata Power Company Ltd.,7.9,3618.2
16,22,3,8,12,2,Chennai,Toshiba Transmission & Distribution Systems (India) Pvt. Ltd.,8.8,5860.8
7,17,3,14,1,8,Mumbai,Torrent Power Ltd.,9.2,2990
22,23,0,20,12,10,Navi Mumbai,Reliance Power,9.3,6361.2
19,23,0,14,1,2,Pune,L&T Transmission & Distribution,9.1,4468.1
7,20,2,13,1,12,Faridabad,Sterlite Power Transmission Ltd,8.1,4276.8
14,22,3,20,1,5,Dahej,Sunil Hitech Eng,7.6,5639.2
16,23,1,22,12,3,Navi Mumbai,SJVN Ltd.,9.3,7142.4
10,19,0,10,1,12,Kolkata,GE T&D India Limited,8.7,4376.1
7,17,1,18,7,11,Navi Mumbai,SJVN Ltd.,9.3,4984.8
9,19,1,12,1,1,Ratnagiri,Torrent Power Ltd.,7.4,3492.8
15,22,1,19,1,1,Dahej,CESC,7.6,4818.4
15,23,2,8,1,10,Hyderabad,Guj Ind Power,8.4,3225.6
12,22,2,11,1,3,New Delhi,CESC,8.5,3723
14,22,1,10,12,7,Faridabad,NHPC,8.1,5678.1
15,22,2,16,1,6,Gurgaon,Indowind Energy,8.3,3834.6
9,23,2,7,1,3,Ahmedabad,Bonfiglioli Transmission Pvt. Ltd.,7.9,4747.9
19,22,0,10,1,9,Ratnagiri,NLC India,7.4,3019.2
12,22,2,6,1,6,Hyderabad,Jaiprakash Power,8.4,3889.2
6,23,2,19,7,7,Hyderabad,SJVN Ltd.,8.4,5056.8
23,22,0,12,1,6,Shimla,Unitech Power Transmission Ltd.,7.7,4889.5
23,23,0,22,1,8,Shimla,Toshiba Transmission & Distribution Systems (India) Pvt. Ltd.,7.7,4335.1
18,23,3,12,1,8,Nagpur,Torrent Power Ltd.,8.9,6461.4
7,20,1,16,1,12,Chennai,TransRail Lighting,8.8,3625.6
7,21,3,22,1,12,Ahmedabad,Neueon Towers / Sujana Towers Ltd.,7.9,5332.5
11,22,2,13,1,9,Mumbai,Reliance Energy,9.2,3542
13,22,0,21,12,10,Dahej,Reliance Power,7.6,5654.4
13,22,1,18,1,4,Vadodara,Reliance Energy,7.8,3198
13,23,2,14,12,1,Dahej,KEC International,7.6,4491.6
7,23,1,14,1,4,Chennai,Reliance Power,8.8,4584.8
18,23,2,10,1,5,Chennai,"Maha Transco – Maharashtra State Electricity Transmission Co, Ltd.",8.8,5244.8
22,23,2,4,1,4,Gurgaon,Power Grid Corp,8.3,3444.5
16,23,0,8,1,12,Vadodara,NLC India,7.8,3923.4
7,17,3,17,1,10,Ahmedabad,L&T Transmission & Distribution,7.9,4155.4
13,22,0,12,1,6,Nagpur,NTPC Pvt. Ltd.,8.9,3355.3
14,22,2,6,1,3,Chennai,L&T Transmission & Distribution,8.8,3308.8
17,23,3,21,1,6,Nagpur,NTPC Pvt. Ltd.,8.9,6443.6
11,22,2,12,12,7,Faridabad,Reliance Power,8.1,5726.7
11,23,0,4,1,11,Kolkata,Jyoti Structure,8.7,3175.5
5,19,2,8,1,2,Gurgaon,Bonfiglioli Transmission Pvt. Ltd.,8.3,2556.4
16,23,3,5,1,8,Kolkata,Orient Green,8.7,4724.1
6,22,1,9,1,3,Gurgaon,Sunil Hitech Eng,8.3,2946.5
6,21,2,4,7,9,Vadodara,Toshiba Transmission & Distribution Systems (India) Pvt. Ltd.,7.8,3915.6
5,19,2,16,1,8,Gurgaon,Guj Ind Power,8.3,3776.5
9,19,0,13,7,12,Ahmedabad,Guj Ind Power,7.9,4289.7
12,23,1,7,1,11,Faridabad,L&T Transmission & Distribution,8.1,3734.1
8,17,1,8,1,7,Chennai,Power Grid Corp,8.8,3625.6
15,22,3,16,12,9,Hyderabad,Neueon Towers / Sujana Towers Ltd.,8.4,5317.2
6,19,2,15,1,12,Pune,Jaiprakash Power,9.1,4368
9,17,0,11,7,5,Kolkata,CESC,8.7,3027.6
20,22,2,6,1,10,Vadodara,Ratnagiri Gas and Power Pvt. Ltd. (RGPPL),7.8,4859.4
12,22,3,9,1,3,Gurgaon,TransRail Lighting,8.3,3859.5
5,18,0,14,1,6,Gurgaon,Ringfeder Power Transmission India Pvt. Ltd.,8.3,3079.3
21,22,1,12,1,11,Ahmedabad,KEC International,7.9,4431.9
20,22,2,9,1,8,Chennai,Sunil Hitech Eng,8.8,5922.4
7,18,1,15,1,8,Ratnagiri,Ringfeder Power Transmission India Pvt. Ltd.,7.4,3959
12,22,3,6,12,4,Pune,Ringfeder Power Transmission India Pvt. Ltd.,9.1,4668.3
8,17,1,4,7,10,Ahmedabad,Indowind Energy,7.9,3634
20,23,2,12,1,8,Noida,Optibelt Power Transmission India Private Limited,8.2,3960.6
7,17,2,10,1,7,Hyderabad,Sunil Hitech Eng,8.4,3108
11,23,3,18,1,10,Hyderabad,Sunil Hitech Eng,8.4,5695.2
7,23,0,19,1,8,Shimla,Orient Green,7.7,3534.3
22,23,3,19,12,1,Dahej,Tata Power Company Ltd.,7.6,5449.2
21,22,2,15,1,7,Chennai,Toshiba Transmission & Distribution Systems (India) Pvt. Ltd.,8.8,5429.6
5,22,3,9,1,5,Navi Mumbai,Tata Power Company Ltd.,9.3,4538.4
22,22,2,20,1,12,Ahmedabad,Toshiba Transmission & Distribution Systems (India) Pvt. Ltd.,7.9,4850.6
21,23,3,13,1,11,Ratnagiri,Power Grid Corp,7.4,4114.4
6,18,0,9,1,8,Kolkata,Unitech Power Transmission Ltd.,8.7,2618.7
9,20,2,19,1,4,Pune,Unitech Power Transmission Ltd.,9.1,5177.9
9,21,3,22,1,8,Chennai,Sterlite Power Transmission Ltd,8.8,4637.6
16,22,1,3,1,11,Vadodara,Unitech Power Transmission Ltd.,7.8,2511.6
16,23,1,21,1,6,Dahej,TransRail Lighting,7.6,5411.2
6,18,0,17,1,10,Noida,Ratnagiri Gas and Power Pvt. Ltd. (RGPPL),8.2,3624.4
19,23,1,17,12,2,Noida,Orient Green,8.2,4173.8
11,23,3,20,1,1,Nagpur,Unitech Power Transmission Ltd.,8.9,5767.2
11,22,2,14,1,3,Chennai,KEC International,8.8,3467.2
15,22,2,14,1,6,Mumbai,Bonfiglioli Transmission Pvt. Ltd.,9.2,4480.4
21,23,2,5,1,2,Hyderabad,JSW Energy Ltd.,8.4,3502.8
10,23,2,19,1,12,Gurgaon,L&T Transmission & Distribution,8.3,4183.2
11,22,3,4,1,9,Kolkata,Jyoti Structure,8.7,4376.1
22,22,3,4,1,10,Vadodara,Kalpataru Power,7.8,3923.4
15,22,2,10,12,4,New Delhi,TransRail Lighting,8.5,4369
23,23,2,20,1,5,Dahej,Ringfeder Power Transmission India Pvt. Ltd.,7.6,5631.6
21,23,1,8,1,1,Vadodara,Power Grid Corp,7.8,3174.6
13,23,3,17,1,11,Pune,Sterlite Power Transmission Ltd,9.1,4750.2
18,22,2,14,1,10,Dahej,L&T Transmission & Distribution,7.6,3845.6
13,22,1,3,1,8,Chennai,KEC International,8.8,3696
22,23,0,15,12,11,Ratnagiri,NLC India,7.4,5439
13,23,2,21,12,11,Pune,Reliance Energy,9.1,5250.7
15,22,1,14,1,10,Pune,Reliance Energy,9.1,3612.7
21,23,3,12,1,7,Mumbai,KEC International,9.2,5888
13,23,2,9,1,4,Nagpur,"Maha Transco – Maharashtra State Electricity Transmission Co, Ltd.",8.9,3515.5
20,22,3,7,12,5,Dahej,Reliance Power,7.6,4757.6
14,23,1,13,12,7,Ratnagiri,Sunil Hitech Eng,7.4,5542.6
8,20,3,13,7,8,Hyderabad,Kalpataru Power,8.4,4989.6
7,17,2,16,7,8,Nagpur,Neueon Towers / Sujana Towers Ltd.,8.9,5073
23,22,1,16,12,9,Mumbai,Orient Green,9.2,6614.8
12,23,1,5,1,11,Mumbai,Power Grid Corp,9.2,4305.6
18,23,1,11,1,6,Noida,Optibelt Power Transmission India Private Limited,8.2,4829.8
23,23,3,13,1,3,Dahej,NTPC Pvt. Ltd.,7.6,5236.4
12,23,3,17,12,12,Pune,NLC India,9.1,7298.2
11,22,2,20,1,2,Pune,Reliance Energy,9.1,5915
17,22,0,10,1,4,Hyderabad,L&T Transmission & Distribution,8.4,2587.2
21,23,3,19,1,11,Gurgaon,Adani Power Ltd.,8.3,6166.9
15,23,0,17,1,10,Chennai,NHPC,8.8,4646.4
8,22,3,11,1,10,Vadodara,Reliance Power,7.8,4680
14,22,0,6,1,9,Chennai,TransRail Lighting,8.8,4505.6
18,22,2,7,1,4,New Delhi,L&T Transmission & Distribution,8.5,4173.5
22,22,1,11,1,8,Chennai,SJVN Ltd.,8.8,4276.8
8,23,0,5,1,12,Gurgaon,Tata Power Company Ltd.,8.3,2216.1
7,20,1,11,1,5,Kolkata,Reliance Energy,8.7,2601.3
23,22,1,10,1,3,Kolkata,Indowind Energy,8.7,3906.3
11,23,0,9,12,11,Kolkata,NHPC,8.7,5237.4
12,23,2,20,12,1,Navi Mumbai,Power Grid Corp,9.3,6630.9
17,23,1,20,1,11,Kolkata,NHPC,8.7,5446.2
9,17,3,5,7,9,New Delhi,NHPC,8.5,3255.5
12,22,0,3,1,3,Gurgaon,Jyoti Structure,8.3,2041.8
19,23,2,4,1,2,Nagpur,Neueon Towers / Sujana Towers Ltd.,8.9,5019.6
19,22,3,14,1,1,Noida,Indowind Energy,8.2,4321.4
15,23,3,19,1,8,Pune,NTPC Pvt. Ltd.,9.1,4686.5
8,18,3,19,1,1,Ratnagiri,JSW Energy Ltd.,7.4,3137.6
11,22,3,14,1,5,Ratnagiri,Indowind Energy,7.4,3159.8
17,23,1,9,1,7,Chennai,Indowind Energy,8.8,4998.4
14,22,2,14,1,9,Navi Mumbai,Jaiprakash Power,9.3,6017.1
18,22,2,15,1,2,Vadodara,NTPC Pvt. Ltd.,7.8,3697.2
21,23,3,7,1,1,Vadodara,KEC International,7.8,3783
23,22,2,4,1,6,Navi Mumbai,Ratnagiri Gas and Power Pvt. Ltd. (RGPPL),9.3,3961.8
7,20,0,5,1,5,Noida,Power Grid Corp,8.2,1574.4
13,22,0,5,1,8,Vadodara,Sunil Hitech Eng,7.8,3182.4
22,23,0,21,1,11,Pune,Optibelt Power Transmission India Private Limited,9.1,6524.7
6,23,0,10,7,12,Nagpur,Optibelt Power Transmission India Private Limited,8.9,5126.4
23,23,1,13,1,6,Faridabad,Tata Power Company Ltd.,8.1,5362.2
15,22,0,8,1,4,Vadodara,NHPC,7.8,3143.4
22,23,0,15,1,12,Noida,Reliance Power,8.2,5666.2
17,22,0,16,12,6,Chennai,TransRail Lighting,8.8,4558.4
5,20,0,8,1,6,Pune,L&T Transmission & Distribution,9.1,2830.1
10,18,3,9,1,2,Noida,Sterlite Power Transmission Ltd,8.2,3025.8
14,23,0,19,1,7,Noida,Reliance Energy,8.2,4797
20,23,2,12,1,8,New Delhi,NHPC,8.5,5227.5
20,22,3,3,12,4,Vadodara,Guj Ind Power,7.8,3868.8
7,19,3,5,1,8,Ratnagiri,Reliance Power,7.4,3478
21,22,2,3,1,8,Mumbai,Jaiprakash Power,9.2,5529.2
14,23,1,19,1,5,Faridabad,KEC International,8.1,4924.8
13,23,3,6,1,4,Ratnagiri,NHPC,7.4,3966.4
16,23,1,6,1,5,Hyderabad,Unitech Power Transmission Ltd.,8.4,4242
17,23,3,12,1,2,Noida,Guj Ind Power,8.2,5100.4
10,23,2,11,1,4,Shimla,Toshiba Transmission & Distribution Systems (India) Pvt. Ltd.,7.7,3110.8
10,20,2,8,1,2,Vadodara,JSW Energy Ltd.,7.8,3330.6
11,23,0,20,1,1,Gurgaon,Ratnagiri Gas and Power Pvt. Ltd. (RGPPL),8.3,3735
12,22,1,19,12,10,Chennai,KEC International,8.8,6212.8
17,22,3,21,12,5,Kolkata,L&T Transmission & Distribution,8.7,7725.6
11,23,2,9,1,12,Dahej,Indowind Energy,7.6,3868.4
20,22,1,3,1,11,Chennai,Power Grid Corp,8.8,4901.6
19,23,0,16,1,11,New Delhi,Guj Ind Power,8.5,4862
12,22,0,9,1,9,Ahmedabad,Guj Ind Power,7.9,3902.6
7,20,3,13,1,4,Nagpur,Reliance Energy,8.9,4521.2
10,19,2,10,1,1,Shimla,"Maha Transco – Maharashtra State Electricity Transmission Co, Ltd.",7.7,4173.4
21,22,2,15,1,6,Vadodara,Ringfeder Power Transmission India Pvt. Ltd.,7.8,3400.8
11,23,1,13,12,5,Shimla,Sterlite Power Transmission Ltd,7.7,5120.5
6,23,1,22,1,2,Noida,Indowind Energy,8.2,2968.4
20,23,1,14,1,11,Shimla,NLC India,7.7,5066.6
22,22,2,15,1,9,Mumbai,SJVN Ltd.,9.2,6348
17,23,0,11,1,8,Gurgaon,Reliance Energy,8.3,4324.3
8,20,1,7,1,11,New Delhi,Tata Power Company Ltd.,8.5,4029
8,18,2,21,1,12,Ahmedabad,"Maha Transco – Maharashtra State Electricity Transmission Co, Ltd.",7.9,4368.7
16,23,2,5,1,7,Nagpur,Reliance Energy,8.9,4111.8
21,23,2,11,1,7,Gurgaon,KEC International,8.3,4847.2
5,19,1,3,1,11,Shimla,Neueon Towers / Sujana Towers Ltd.,7.7,2979.9
9,23,2,5,1,8,Ratnagiri,Optibelt Power Transmission India Private Limited,7.4,2523.4
5,18,0,5,1,4,Vadodara,Adani Power Ltd.,7.8,2925
23,22,1,16,1,9,Hyderabad,Ratnagiri Gas and Power Pvt. Ltd. (RGPPL),8.4,5124
23,23,0,11,1,3,Dahej,Toshiba Transmission & Distribution Systems (India) Pvt. Ltd.,7.6,3686
11,23,1,11,1,9,Mumbai,Ringfeder Power Transmission India Pvt. Ltd.,9.2,4158.4
13,23,3,7,1,12,Pune,Tata Power Company Ltd.,9.1,5505.5
21,23,1,4,1,7,Dahej,Sunil Hitech Eng,7.6,3860.8
13,22,1,7,1,3,Noida,Tata Power Company Ltd.,8.2,3542.4
23,23,3,8,1,6,Nagpur,Ratnagiri Gas and Power Pvt. Ltd. (RGPPL),8.9,3960.5
8,17,3,3,1,5,Chennai,NHPC,8.8,3308.8
21,23,2,17,1,7,New Delhi,TransRail Lighting,8.5,5856.5
20,23,1,10,12,9,Dahej,NLC India,7.6,4142
7,21,0,6,1,12,Navi Mumbai,Guj Ind Power,9.3,2566.8
14,23,1,14,12,2,Faridabad,L&T Transmission & Distribution,8.1,4147.2
5,21,0,3,1,5,New Delhi,CESC,8.5,3493.5
